LCZ,Class Name,TCH,IMD,BH,BSF,SVF,F_AC,F_S,F_M,F_BS,F_G,F_TV
2,Compact midrise,0.025,0.854,0.041,0.449,0.667,0.227,0.231,0.037,0.17,0.133,0.066
3,Compact low-rise,0.014,0.833,0.018,0.398,0.802,0.165,0.317,0.05,0.204,0.11,0.066
5,Open midrise,0.203,0.491,0.014,0.18,0.734,0.203,0.117,0.045,0.132,0.185,0.208
6,Open low-rise,0.156,0.419,0.006,0.136,0.887,0.162,0.143,0.046,0.153,0.23,0.183
8,Large low-rise,0.039,0.815,0.015,0.328,0.917,0.189,0.121,0.191,0.208,0.123,0.08
101,Dense trees,0.578,0.029,0.002,0.011,0.839,0.037,0.008,0.004,0.008,0.071,0.821
102,Scattered trees,0.421,0.009,0.001,0.003,0.866,0.077,0.065,0.022,0.074,0.288,0.417
104,Low Plants,0.139,0.005,0.001,0.0,0.983,0.084,0.048,0.018,0.057,0.256,0.437
105,Bare rock or paved,0.118,0.46,0.001,0.002,0.961,0.316,0.072,0.041,0.151,0.16,0.131
106,Bare Soil or sand,0.14,0.006,0.001,0.001,0.984,0.134,0.154,0.059,0.272,0.205,0.104
107,Water,0.065,0.025,0.001,0.001,0.909,0.076,0.026,0.009,0.026,0.061,0.152
